Order_ID,Order_Date,Customer_ID,Customer_Age,Customer_Segment,Region,Sales_Channel,Category,Product,Quantity,Unit_Price,Discount,Sales,Cost,Profit,Payment_Method
ORD00001,2025-01-21,CUST0100,40.0,Small Business,South,Distributor,Clothing,Sneakers,8,65.68,0.15,446.62,350.09,96.53,UPI
ORD00002,2025-07-11,CUST0236,50.0,Consumer,West,Retail Store,Office Supplies,Folders,6,19.49,0.02,114.6,79.27,35.33,Bank Transfer
ORD00003,2025-07-07,CUST0167,20.0,Small Business,East,Distributor,Electronics,Laptop,10,1024.77,0.1,9222.93,6766.71,2456.22,Cash
ORD00004,2025-09-22,CUST0264,19.0,Consumer,South,Distributor,Furniture,Cabinet,2,571.1,0.02,1119.36,822.15,297.21,Bank Transfer
ORD00005,2025-01-02,CUST0202,46.0,Corporate,South,Retail Store,Office Supplies,Notebook,8,6.11,0.1,43.99,29.54,14.45,Debit Card
ORD00006,2025-07-27,CUST0188,64.0,Corporate,Central,Retail Store,Clothing,Shirt,8,28.39,0.15,193.05,156.49,36.56,Cash
ORD00007,2025-11-23,CUST0163,61.0,Consumer,North,Distributor,Clothing,Sneakers,1,59.73,0.0,59.73,44.25,15.48,UPI
ORD00008,2025-02-10,CUST0062,26.0,Small Business,West,Retail Store,Office Supplies,Notebook,10,10.27,0.02,100.65,57.95,42.7,Bank Transfer
ORD00009,2025-02-04,CUST0255,54.0,Small Business,North,Online,Home & Kitchen,Lamp,6,96.87,0.05,552.16,411.29,140.87,UPI
ORD00010,2025-06-28,CUST0231,49.0,Consumer,North,Retail Store,Office Supplies,Notebook,10,11.53,0.02,112.99,66.4,46.6,Bank Transfer
ORD00011,2025-08-31,CUST0134,59.0,Corporate,West,Retail Store,Home & Kitchen,Lamp,7,46.4,0.05,308.56,222.48,86.08,Cash
ORD00012,2025-11-27,CUST0283,45.0,Small Business,South,Distributor,Clothing,Shirt,4,41.38,0.2,132.42,105.25,27.17,Credit Card
ORD00013,2025-05-17,CUST0160,59.0,Consumer,Central,Distributor,Electronics,Keyboard,3,65.83,0.2,157.99,94.07,63.92,Bank Transfer
ORD00014,2025-02-21,CUST0113,56.0,Corporate,West,Distributor,Electronics,Keyboard,1,67.27,0.02,65.92,41.61,24.31,Debit Card
ORD00015,2025-02-23,CUST0172,18.0,Consumer,Central,Retail Store,Electronics,Monitor,2,424.3,0.1,763.74,449.94,313.8,UPI
ORD00016,2025-09-12,CUST0097,23.0,Corporate,Central,Distributor,Furniture,Cabinet,8,140.43,0.05,1067.27,613.02,454.25,UPI
ORD00017,2025-09-09,CUST0199,43.0,Small Business,East,Distributor,Electronics,Keyboard,3,86.07,0.1,232.39,142.03,90.36,UPI
ORD00018,2025-12-26,CUST0298,45.0,Small Business,North,Online,Clothing,T-Shirt,7,46.09,0.02,316.18,191.75,124.43,Credit Card
ORD00019,2025-03-01,CUST0009,18.0,Corporate,North,Online,Office Supplies,Stapler,9,8.5,0.1,68.85,54.61,14.24,Bank Transfer
ORD00020,2025-06-01,CUST0254,25.0,Small Business,North,Retail Store,Electronics,Monitor,3,465.16,0.1,1255.93,917.62,338.31,Bank Transfer
